CustomerID,name,category,type,country,category
155453,No Plan Selected,rotate,standard,us,static
156398,No Plan Selected,rotate,standard,de,static
157000,No Plan Selected,rotate,standard,us,static
69675,No Plan Selected,rotate,standard,us,static
148698,No Plan Selected,rotate,standard,us,static
147438,No Plan Selected,rotate,standard,us,static
14361,No Plan Selected,rotate,standard,us,semi-3
157546,No Plan Selected,rotate,standard,us,static
157560,No Plan Selected,rotate,standard,us,semi-3
157595,No Plan Selected,rotate,standard,us,static
61814,No Plan Selected,rotate,standard,de,static
158456,No Plan Selected,rotate,standard,us,static
141880,No Plan Selected,rotate,standard,us,static
158638,No Plan Selected,rotate,standard,us,static
158715,No Plan Selected,rotate,standard,us,static
146990,No Plan Selected,rotate,standard,us,static
159030,No Plan Selected,rotate,standard,us,static
159639,No Plan Selected,rotate,standard,us,rotate
160290,No Plan Selected,rotate,standard,us,static
160689,No Plan Selected,rotate,standard,br,rotate
161095,No Plan Selected,rotate,standard,us,static
161732,No Plan Selected,rotate,standard,us,static
152940,No Plan Selected,rotate,standard,br,semi-3
134502,No Plan Selected,rotate,standard,br,rotate
162292,No Plan Selected,rotate,standard,br,static
162348,No Plan Selected,rotate,standard,us,static
163307,No Plan Selected,rotate,standard,us,block
163335,No Plan Selected,rotate,standard,us,semi-3
164231,No Plan Selected,rotate,standard,us,semi-3
142671,No Plan Selected,rotate,standard,us,static
164546,No Plan Selected,rotate,standard,de,rotate
112627,No Plan Selected,rotate,standard,us,static
36362,No Plan Selected,rotate,standard,us,static
165316,No Plan Selected,rotate,standard,us,static
107552,No Plan Selected,rotate,standard,gb,static
165925,No Plan Selected,rotate,standard,br,static
166016,No Plan Selected,rotate,standard,us,static
166079,No Plan Selected,rotate,standard,us,static
48346,No Plan Selected,rotate,standard,us,static
166709,No Plan Selected,rotate,standard,de,static
166786,No Plan Selected,rotate,standard,de,semi-3
167059,No Plan Selected,rotate,standard,us,static
167710,No Plan Selected,rotate,standard,us,static
167822,No Plan Selected,rotate,standard,br,static
167920,No Plan Selected,rotate,standard,br,static
113775,No Plan Selected,rotate,standard,us,static
168221,No Plan Selected,rotate,standard,de,rotate
168263,No Plan Selected,rotate,standard,br,static
168305,No Plan Selected,rotate,standard,br,static
168326,No Plan Selected,rotate,standard,us,static
57187,No Plan Selected,rotate,standard,us,semi-3
169026,No Plan Selected,rotate,standard,us,static
169404,No Plan Selected,rotate,standard,us,static
158029,No Plan Selected,rotate,standard,us,semi-3
150469,No Plan Selected,rotate,standard,us,rotate
170727,No Plan Selected,rotate,standard,us,block
31511,No Plan Selected,rotate,standard,us,static
148383,No Plan Selected,rotate,standard,us,rotate
93055,No Plan Selected,rotate,standard,us,semi-3
171287,No Plan Selected,rotate,standard,us,semi-3
118766,No Plan Selected,rotate,standard,us,semi-3
171546,No Plan Selected,rotate,standard,us,static
167920,No Plan Selected,rotate,standard,us,static
171791,No Plan Selected,rotate,standard,us,static
171812,No Plan Selected,rotate,standard,us,semi-3
117716,No Plan Selected,rotate,standard,us,static
172064,No Plan Selected,rotate,standard,de,static
172148,No Plan Selected,rotate,standard,us,semi-3
172169,No Plan Selected,rotate,standard,br,static
109673,No Plan Selected,rotate,standard,us,rotate
173338,No Plan Selected,rotate,standard,br,static
55563,No Plan Selected,rotate,standard,us,semi-3
173898,No Plan Selected,rotate,standard,us,semi-3
164546,No Plan Selected,rotate,standard,us,rotate
174535,No Plan Selected,rotate,standard,us,static
174549,No Plan Selected,rotate,standard,us,static
175053,No Plan Selected,rotate,standard,us,static
175214,No Plan Selected,rotate,standard,us,static
148145,No Plan Selected,rotate,standard,us,semi-3
1432,No Plan Selected,rotate,standard,us,static
175669,No Plan Selected,rotate,standard,us,semi-3
117954,No Plan Selected,rotate,standard,us,static
176096,No Plan Selected,rotate,standard,us,semi-3
176537,No Plan Selected,rotate,standard,us,static
127747,No Plan Selected,rotate,standard,us,static
176691,No Plan Selected,rotate,standard,us,semi-3
113572,No Plan Selected,rotate,standard,us,static
134586,No Plan Selected,rotate,standard,us,static
177328,No Plan Selected,rotate,standard,us,static
178266,No Plan Selected,rotate,standard,us,static
37139,No Plan Selected,rotate,standard,de,static
178693,No Plan Selected,rotate,standard,de,static
134320,No Plan Selected,rotate,standard,de,static
179316,No Plan Selected,rotate,standard,de,semi-3
179414,No Plan Selected,rotate,standard,us,static
163258,No Plan Selected,rotate,standard,us,static
113964,No Plan Selected,rotate,standard,us,static
179862,No Plan Selected,rotate,standard,us,static
174934,No Plan Selected,rotate,standard,us,semi-3
180149,No Plan Selected,rotate,standard,us,static
180296,No Plan Selected,rotate,standard,us,static
180856,No Plan Selected,rotate,standard,us,semi-3
166786,No Plan Selected,rotate,standard,br,semi-3
181122,No Plan Selected,rotate,standard,us,static
181136,No Plan Selected,rotate,standard,us,semi-3
130393,No Plan Selected,rotate,standard,de,static
