userid,country_code,orders,revenue,tenure,unique_product,client_status
225733,IL,1,72,639,1,Inactive
225754,VN,1,312,652,1,Active
225761,AL,2,126,640,2,Inactive
226027,CA,3,7620,1658,3,Active
226041,IN,1,156,636,1,Active
226069,JP,1,135.36,496,1,Inactive
226349,US,1,96,637,1,Active
226377,US,1,72,296,1,Inactive
22642,EE,1,1368,1176,1,Inactive
226475,GB,1,72,395,1,Inactive
22649,MX,3,96,2637,2,Inactive
226594,ES,1,144,623,1,Inactive
226706,DE,1,144,546,1,Active
226811,US,1,288,349,1,Inactive
226832,FR,1,134.4,396,1,Inactive
227049,US,1,72,622,1,Inactive
227175,US,1,72,349,1,Inactive
227266,BR,2,180,837,2,Active
227294,FR,1,552,398,1,Inactive
227385,JP,1,56.4,297,1,Inactive
227434,IL,4,498,1762,4,Active
227469,US,1,144,472,1,Inactive
227609,US,1,57.6,358,1,Inactive
227700,FR,1,72,418,1,Inactive
227910,JP,1,1285.92,363,1,Inactive
227938,US,1,72,358,1,Inactive
227959,ES,1,72,593,1,Inactive
227966,US,1,72,330,1,Inactive
22817,CW,3,2223,2866,3,Active
228176,US,1,72,548,1,Inactive
228267,VN,2,393.6,625,2,Inactive
228449,JP,1,457.92,402,1,Inactive
22859,DE,2,114,2053,2,Inactive
228806,BR,1,672,341,1,Active
229051,PH,3,704.48,1846,3,Inactive
229128,US,1,64.8,358,1,Inactive
229170,US,2,417.24,802,2,Active
229240,PL,1,96,531,1,Inactive
229415,US,1,60,413,1,Active
229583,DE,1,96,358,1,Inactive
229730,VN,1,30,358,1,Inactive
22985,ID,1,72,862,1,Inactive
229975,DE,1,445.44,297,1,Active
230017,CO,1,72,426,1,Inactive
230066,IN,1,125.4,328,1,Inactive
230108,US,2,204,594,2,Inactive
230199,JP,1,67.68,513,1,Inactive
230220,US,3,752.4,1512,3,Inactive
230514,BG,1,72,302,1,Inactive
230808,EE,1,72,352,1,Inactive
230962,US,1,30,337,1,Inactive
230976,BE,1,96,543,1,Inactive
231074,US,1,441.6,376,1,Inactive
231200,NZ,1,259.2,362,1,Inactive
231228,PL,2,240,886,2,Inactive
231235,NZ,2,300.96,1064,2,Inactive
231263,RU,2,237.6,988,2,Active
231396,VN,1,30,380,1,Inactive
231571,US,3,444,1179,3,Inactive
231641,BG,1,192,283,1,Active
231746,US,1,57.6,359,1,Inactive
231795,US,1,661.2,382,1,Active
231970,VN,2,197.4,773,2,Inactive
232565,US,1,72,576,1,Inactive
232614,TH,1,474,428,1,Inactive
232740,US,1,30,471,1,Active
23300,TH,2,1657.56,2234,2,Active
233048,US,1,288,340,1,Inactive
233076,BR,1,96,278,1,Inactive
233279,US,1,72,273,1,Inactive
23349,GB,1,72,1056,1,Inactive
233594,CN,2,66,656,2,Inactive
233804,MY,2,433.2,726,2,Inactive
233853,NL,1,90,362,1,Inactive
233860,FR,1,72,379,1,Inactive
233923,JP,1,60,356,1,Inactive
234084,VN,2,144,1077,2,Active
234091,US,2,2088,591,2,Inactive
234140,CN,1,336,386,1,Inactive
234189,US,1,900.6,424,1,Inactive
23419,US,1,30,840,1,Inactive
234203,BR,1,96,299,1,Inactive
234336,SA,1,288,394,1,Inactive
234448,US,2,80.4,716,2,Inactive
234504,CN,4,682.8,2029,4,Active
234686,JP,1,270.72,332,1,Inactive
234784,US,1,72,610,1,Inactive
234882,US,1,72,399,1,Inactive
234931,US,1,1392,302,1,Inactive
235057,LT,1,437.76,271,1,Inactive
235064,US,1,68.4,266,1,Inactive
235365,DE,1,28.8,358,1,Inactive
235519,DE,1,144,474,1,Inactive
235582,GB,1,72,306,1,Inactive
235757,GB,2,866.4,1156,2,Inactive
235911,BR,1,1560,255,1,Inactive
236030,US,1,122.4,360,1,Inactive
236282,GB,1,60,301,1,Inactive
236415,GB,1,150,408,1,Inactive
236464,AT,3,6840,1582,3,Active
236541,GB,1,348,286,1,Inactive
236555,FR,1,72,481,1,Inactive
236597,PK,1,72,363,1,Inactive
236611,NL,1,96,305,1,Inactive
236751,AU,1,72,408,1,Inactive
236800,DE,2,480,888,2,Inactive
236989,DK,1,132,286,1,Active
237129,US,2,102,766,2,Inactive
237157,AU,2,1044,739,2,Inactive
237269,GB,1,132,278,1,Inactive
237318,ES,1,312,240,1,Inactive
237521,CA,1,72,369,1,Inactive
237528,US,1,72,331,1,Inactive
237661,DE,1,331,266,1,Inactive
237675,BD,1,84,368,1,Inactive
237780,CA,2,84,764,2,Active
237829,PL,1,7020,258,1,Inactive
237941,DE,1,444.6,428,1,Active
238018,BR,1,132,436,1,Inactive
238116,CN,1,136.8,244,1,Inactive
238151,AR,1,273.6,266,1,Inactive
238158,BR,1,30,256,1,Inactive
238249,US,5,534,1880,5,Inactive
238312,US,1,72,243,1,Inactive
238319,CA,1,132,251,1,Inactive
238844,BE,2,314.64,1046,2,Inactive
238858,VN,1,204,291,1,Active
239096,CA,1,2209.32,320,1,Inactive
239201,LV,1,57.6,358,1,Inactive
239327,PE,1,60,318,1,Inactive
239383,BR,1,96,238,1,Inactive
239425,US,1,61.2,359,1,Inactive
239446,US,1,95.76,273,1,Inactive
239474,US,2,948,775,1,Active
239481,CN,2,102,918,2,Inactive
239565,DE,1,150,273,1,Active
239600,BR,1,504,247,1,Inactive
239635,IT,1,192,335,1,Inactive
239754,US,1,570,356,1,Inactive
240083,BR,1,30,404,1,Active
240104,KW,1,696,328,1,Inactive
240342,JP,1,67.68,276,1,Inactive
240426,DK,1,348,389,1,Inactive
240447,IN,1,72,274,1,Inactive
24049,FR,1,42,880,1,Active
240573,US,1,57.6,367,1,Inactive
240608,JP,4,1016.4,1759,4,Inactive
240692,US,1,556.8,274,1,Inactive
240762,BR,1,168,246,1,Inactive
240811,SG,2,2250,804,2,Inactive
240909,JP,1,72,404,1,Inactive
240944,HU,1,288,333,1,Inactive
24098,CN,1,1835.4,1074,1,Inactive
241147,DE,1,96,336,1,Inactive
241434,ES,1,2580,364,1,Active
241574,MK,1,68.4,395,1,Active
241658,MY,1,48,404,1,Active
24168,IT,1,216,884,1,Inactive
241770,US,1,136.8,231,1,Inactive
242134,CA,1,68.4,409,1,Inactive
242176,GB,1,168,301,1,Inactive
242274,GR,1,384,245,1,Inactive
242407,PH,1,68.4,485,1,Active
242414,US,1,570,244,1,Active
242421,US,2,450,812,2,Inactive
242449,CN,3,2268,1443,3,Active
242554,HU,1,417.6,358,1,Inactive
242610,LK,1,60,515,1,Active
242694,CA,2,234,706,2,Active
242911,PL,1,72,220,1,Inactive
242918,HU,1,144,254,1,Inactive
242988,JP,1,144,412,1,Inactive
243072,PK,1,331,272,1,Inactive
243149,US,1,72,262,1,Inactive
243247,VN,1,72,333,1,Inactive
243254,IN,1,68.4,478,1,Inactive
243352,IL,1,72,292,1,Inactive
243422,NL,2,1074,463,2,Inactive
243436,VN,2,132,1098,2,Active
243793,US,1,72,510,1,Inactive
243800,US,3,612,996,3,Inactive
243807,JP,1,67.68,243,1,Inactive
243919,US,1,948,367,1,Inactive
243961,HK,5,3408,1655,5,Inactive
244136,AU,1,7200,292,1,Active
244150,PH,3,777.6,1633,3,Inactive
244248,PT,2,270,824,2,Active
244318,IL,1,72,433,1,Inactive
244360,JP,2,434.64,1016,2,Inactive
244430,US,1,480,570,1,Active
244556,US,1,450,441,1,Active
244591,IL,1,132,270,1,Inactive
244843,DE,1,36,365,1,Inactive
244899,US,1,132,469,1,Inactive
244927,SG,1,136.8,327,1,Inactive
245032,US,1,30,428,1,Inactive
245158,DE,1,192,203,1,Inactive
245410,NL,1,132,282,1,Inactive
245417,US,1,1656,540,1,Inactive
245606,CO,1,84,237,1,Inactive
245669,US,1,72,213,1,Inactive
245683,JP,2,139.44,744,2,Inactive
245718,GB,1,68.4,236,1,Inactive
245725,LK,2,7272,1004,2,Active
245858,VN,1,172.8,509,1,Inactive
246208,KR,3,3104.4,1406,3,Inactive
246292,NL,1,172.8,258,1,Inactive
246369,US,1,144,235,1,Inactive
246383,IN,1,259.2,555,1,Active
246425,JP,2,400.44,770,2,Inactive
246558,CA,2,210,604,2,Inactive
246642,GB,1,150,200,1,Inactive
246684,CA,1,12,359,1,Inactive
246768,US,2,168,444,2,Inactive
246775,US,1,948,251,1,Inactive
246852,US,1,72,273,1,Inactive
246943,HU,1,96,207,1,Inactive
246950,US,1,72,198,1,Inactive
247006,US,1,57.6,236,1,Inactive
247118,DE,1,312,191,1,Inactive
247272,US,2,97449.6,576,2,Inactive
247531,US,1,57.6,358,1,Inactive
247636,MX,1,72,417,1,Inactive
247657,IT,1,125.4,308,1,Inactive
247720,BR,1,57,328,1,Inactive
247881,DE,1,107.52,366,1,Inactive
247965,BR,1,30,347,1,Inactive
247986,BR,1,1560,202,1,Inactive
248014,US,2,936,820,2,Inactive
248175,JP,1,135.36,241,1,Inactive
248182,DE,1,168,400,1,Inactive
248189,US,3,228.96,1029,3,Inactive
248273,BR,1,66,389,1,Inactive
248364,JP,1,270.72,334,1,Inactive
248371,DK,1,144,246,1,Inactive
248392,JP,1,270.72,525,1,Inactive
248420,JP,1,2700.48,513,1,Inactive
248490,US,1,417.6,192,1,Inactive
248497,CN,1,72,495,1,Inactive
248504,US,1,120,212,1,Active
248595,IT,7,1158,1981,7,Active
248686,US,1,115.2,379,1,Inactive
24875,IL,1,144,840,1,Inactive
248868,US,1,57.6,358,1,Inactive
248994,US,1,273.6,488,1,Inactive
24903,DE,2,120,2018,2,Inactive
249064,PK,1,22200,392,1,Inactive
249176,US,1,288,364,1,Inactive
249246,BR,1,157.92,386,1,Inactive
249498,US,1,974.4,218,1,Inactive
249505,US,1,72,430,1,Inactive
249624,US,1,171.2,319,1,Active
249652,BR,1,312,316,1,Active
24973,US,2,1920,1962,2,Inactive
249862,GB,3,319.2,717,3,Inactive
249911,US,1,68.4,181,1,Inactive
250093,DE,1,84,436,1,Inactive
250107,AU,1,72,391,1,Inactive
250247,US,2,318,480,2,Active
250457,BR,1,132,182,1,Inactive
250548,SG,1,72,246,1,Inactive
250562,US,1,72,275,1,Inactive
250611,CH,1,234,200,1,Inactive
250730,JP,1,654.24,183,1,Inactive
250793,JP,1,405.6,269,1,Inactive
250884,US,1,1404,274,1,Inactive
250982,NL,1,72,279,1,Inactive
251066,JP,1,144,311,1,Active
251290,BR,1,76.8,359,1,Inactive
251304,IT,2,1327.2,769,2,Active
251458,US,1,72,181,1,Inactive
251465,BR,1,109.44,386,1,Inactive
251724,GR,2,394.8,578,2,Active
251780,RS,1,68.4,169,1,Active
251794,IN,2,240,460,2,Active
251871,JP,1,392.52,425,1,Inactive
251878,JP,1,72,344,1,Inactive
251899,CN,1,184,392,1,Active
251906,GR,1,180,221,1,Active
251969,US,1,191.52,479,1,Inactive
252067,US,1,72,294,1,Inactive
252158,NZ,1,144,192,1,Inactive
252277,JP,1,696,226,1,Inactive
252382,NZ,1,72,499,1,Active
252487,US,1,120,282,1,Inactive
252515,US,1,570,318,1,Inactive
252550,US,1,576,232,1,Inactive
252592,US,1,480,414,1,Inactive
252732,DE,1,150,250,1,Active
252886,US,1,132,334,1,Active
252977,US,1,12,358,1,Inactive
253495,KR,1,12,367,1,Active
253509,US,1,359.4,293,1,Inactive
253516,US,1,79.8,323,1,Inactive
253621,BR,1,72,192,1,Active
253677,GB,2,1221.6,697,2,Active
253698,US,1,1140,358,1,Inactive
253838,US,1,72,237,1,Inactive
253929,US,1,858,235,1,Inactive
254139,US,1,132,276,1,Inactive
254167,NL,1,57.6,358,1,Inactive
254279,NL,2,628.8,802,2,Inactive
254286,US,1,296,179,1,Inactive
254307,US,1,57.6,398,1,Inactive
254531,VN,1,72,339,1,Inactive
254734,BR,1,144,163,1,Inactive
254839,BR,1,30,406,1,Inactive
254874,CN,1,72,395,1,Inactive
254881,BR,1,84,280,1,Inactive
255007,US,1,72,150,1,Inactive
255070,DE,1,156,275,1,Inactive
255112,BR,1,34.2,397,1,Active
255133,GB,1,409.92,279,1,Inactive
255378,BR,1,36,144,1,Inactive
255434,US,1,396,243,1,Inactive
255532,US,1,288,182,1,Inactive
255539,BR,1,96,316,1,Active
255560,US,1,72,264,1,Inactive
255581,JP,1,405.6,304,1,Inactive
255721,CA,3,340.44,993,3,Active
255728,BR,1,72,152,1,Inactive
25575,US,2,1248,2046,2,Inactive
255805,US,1,144,152,1,Inactive
255875,IT,1,182.4,268,1,Inactive
256057,RU,1,312,479,1,Active
256078,ES,1,288,363,1,Inactive
256162,US,1,2188.8,490,1,Active
256225,AU,1,30,148,1,Inactive
256253,IN,2,1090.2,602,2,Inactive
256330,CA,2,312,368,2,Inactive
256365,US,1,72,148,1,Inactive
256421,JP,1,760.32,185,1,Inactive
256526,HU,1,288,220,1,Inactive
256540,ES,1,30,148,1,Inactive
256547,US,1,661.2,308,1,Inactive
256561,VN,3,636,686,3,Active
256610,IN,1,72,270,1,Inactive
256666,NL,1,259.2,316,1,Inactive
256757,US,1,30,179,1,Inactive
256778,GB,1,150,183,1,Inactive
256785,AU,1,417.6,282,1,Inactive
256827,US,1,60,453,1,Inactive
256904,US,2,585,684,2,Inactive
257037,BR,2,319.2,435,2,Inactive
257065,GB,1,150,162,1,Inactive
257170,US,2,296.16,726,2,Inactive
257184,AE,1,348,155,1,Inactive
257191,JP,1,95.76,140,1,Inactive
257212,BR,1,96,161,1,Inactive
257324,US,1,592,366,1,Inactive
257436,DE,1,84,299,1,Inactive
257457,NL,1,96,425,1,Inactive
257506,BR,1,319.2,432,1,Inactive
257548,BR,4,626.4,1229,4,Inactive
257555,US,1,948,146,1,Inactive
257611,US,1,192,206,1,Inactive
257625,US,1,90,228,1,Inactive
257632,HU,1,144,220,1,Inactive
257730,CN,1,192,386,1,Active
257765,MA,1,150,183,1,Inactive
257786,SE,1,216,360,1,Inactive
257912,US,1,72,153,1,Inactive
258045,BR,2,132,342,2,Inactive
258066,AF,1,86.4,309,1,Inactive
258129,BE,1,72,198,1,Inactive
258143,US,2,273.12,266,2,Inactive
258262,US,1,68.4,132,1,Inactive
258297,LT,1,172.8,442,1,Active
258388,US,2,384,515,2,Inactive
258507,DE,1,90,149,1,Inactive
258542,NL,1,72,222,1,Inactive
258570,US,1,30,185,1,Inactive
258577,BR,9,1086,2280,9,Active
258661,FR,1,150,306,1,Inactive
258941,DE,1,168,293,1,Inactive
258955,SK,2,1324.8,747,2,Active
25904,KR,3,204,3408,3,Active
259046,CA,1,1608,183,1,Inactive
259067,BR,1,30,264,1,Inactive
259088,CA,1,84,186,1,Inactive
259158,DE,1,84,219,1,Inactive
259179,AT,1,72,130,1,Active
259361,JP,1,135.36,135,1,Inactive
259424,CA,1,84,141,1,Inactive
259438,US,1,48,387,1,Active
259452,ID,1,216,164,1,Inactive
259522,US,1,72,159,1,Inactive
25953,PL,1,115.2,873,1,Active
259690,US,1,156,245,1,Active
259718,US,1,259.2,174,1,Inactive
259746,KR,4,2171.16,1377,4,Active
259753,US,2,294,431,2,Inactive
259802,CN,1,570,359,1,Inactive
259809,DE,1,81.6,177,1,Inactive
259830,GB,1,450,128,1,Inactive
259844,US,2,1290,591,2,Inactive
259886,BG,1,102,167,1,Inactive
259942,FR,2,204,822,2,Active
259970,MA,1,60,170,1,Inactive
260054,US,1,480,207,1,Inactive
260075,GB,1,240,374,1,Active
26009,BG,1,319.2,1088,1,Active
260096,DE,3,480,770,3,Inactive
260117,GM,1,76.8,185,1,Inactive
260166,US,1,72,185,1,Inactive
260348,AU,1,90,463,1,Active
260376,US,1,708,179,1,Inactive
260397,US,1,270,207,1,Inactive
260411,IN,1,72,338,1,Inactive
260460,VN,1,12,296,1,Active
260502,BG,1,384,148,1,Inactive
260565,NZ,1,122.4,177,1,Inactive
260579,BR,1,96,239,1,Inactive
260593,IN,1,72,145,1,Inactive
260628,CA,1,268.8,182,1,Active
260712,PK,1,30,318,1,Inactive
260719,BR,1,312,182,1,Active
260747,BR,1,96,144,1,Inactive
260789,US,1,132,316,1,Inactive
260873,CH,1,96,403,1,Active
260957,US,1,570,244,1,Inactive
261146,IT,1,54.72,374,1,Inactive
261160,US,1,696,203,1,Inactive
261335,CL,1,288,251,1,Inactive
261342,AF,1,135.36,269,1,Inactive
261363,JP,1,270.72,150,1,Inactive
261412,SE,2,318,300,2,Inactive
261426,SE,1,156,270,1,Inactive
261447,CA,1,1194,273,1,Inactive
261517,ES,1,30,212,1,Inactive
261552,IT,5,547.2,1430,5,Inactive
261566,PH,1,855,239,1,Inactive
261608,DE,1,96,345,1,Inactive
261692,US,1,144,153,1,Inactive
261783,DE,1,96,198,1,Inactive
261993,US,3,604.8,876,3,Active
262035,DE,1,36,361,1,Inactive
262042,US,1,572,392,1,Active
262049,FR,1,72,182,1,Inactive
262105,PK,1,528.96,115,1,Inactive
262280,CN,1,570,226,1,Inactive
262301,PL,1,72,262,1,Active
262336,US,1,72,265,1,Inactive
262434,VN,1,72,176,1,Inactive
262448,ID,1,132,233,1,Active
262462,NL,1,115.2,310,1,Inactive
262518,CN,1,204,197,1,Inactive
262616,BR,1,156,246,1,Inactive
262623,GB,1,120,183,1,Inactive
262665,US,1,1440,291,1,Active
262679,US,1,72,117,1,Inactive
262826,US,1,1080,207,1,Inactive
262889,US,1,360,163,1,Inactive
262896,JP,1,240,122,1,Inactive
263092,BR,1,336,247,1,Inactive
263134,JP,1,654.24,178,1,Inactive
263169,US,1,125.4,335,1,Inactive
263176,JP,1,355.2,210,1,Inactive
263183,DE,1,72,146,1,Inactive
263197,BR,1,96,185,1,Inactive
263260,US,2,1065.6,459,2,Inactive
263316,JP,1,518.88,252,1,Inactive
263365,US,1,136.8,273,1,Inactive
26338,GB,1,72,1010,1,Inactive
263400,CA,1,661.2,107,1,Inactive
263414,US,1,216,146,1,Inactive
263540,US,2,246,511,2,Active
263624,GB,2,1197.96,894,2,Inactive
263736,US,3,1758,1045,2,Inactive
263848,US,1,417.6,156,1,Inactive
263890,GB,2,204,679,2,Inactive
263897,JP,1,60,371,1,Inactive
263918,US,1,48,234,1,Inactive
263995,CN,6,1089.6,1427,6,Inactive
264128,US,1,30,221,1,Inactive
264135,ID,1,132,124,1,Inactive
264170,ES,1,30,154,1,Inactive
264240,GB,2,565.2,354,2,Inactive
264261,AR,1,79.8,118,1,Inactive
264415,PL,1,2612.88,436,1,Active
264464,TW,1,102,126,1,Inactive
264541,ES,2,204,290,2,Active
264548,CN,1,1294.56,311,1,Active
264576,MX,1,72,92,1,Inactive
264583,MX,1,115.2,445,1,Active
264604,GB,3,712.8,325,3,Active
264667,US,1,302.4,89,1,Inactive
264730,BR,1,159.6,91,1,Inactive
264737,US,1,72,368,1,Inactive
264814,US,1,348,91,1,Inactive
264856,US,1,480,281,1,Inactive
264919,MY,1,132,260,1,Active
264954,GB,2,2308.56,254,2,Inactive
265052,IN,6,4071.6,2522,6,Active
265129,US,1,90,368,1,Active
265241,AU,1,60,352,1,Active
265472,US,1,244.8,122,1,Inactive
265479,DZ,3,9168,887,3,Inactive
265619,US,1,72,156,1,Inactive
265668,JP,1,270.72,175,1,Inactive
265682,GB,2,420,717,2,Inactive
265696,CA,1,96,154,1,Active
265794,US,2,2916,238,2,Inactive
265864,JP,1,112.8,204,1,Inactive
265990,PH,2,2952,426,2,Inactive
26604,US,1,72,964,1,Inactive
266060,BR,1,284.4,210,1,Inactive
266088,DE,1,9840,440,1,Inactive
266158,GB,1,661.2,85,1,Inactive
26618,BR,1,352.8,828,1,Inactive
266291,BR,1,96,120,1,Inactive
266340,US,1,331,85,1,Inactive
266361,CA,1,84,339,1,Inactive
266410,VN,1,72,149,1,Inactive
266431,VN,3,138,353,3,Inactive
266438,HR,1,144,418,1,Inactive
266480,CN,1,780,212,1,Inactive
266564,US,1,72,392,1,Inactive
266571,GR,1,120,153,1,Inactive
266774,NL,2,86.4,202,2,Inactive
266823,GE,1,36,319,1,Inactive
266879,US,1,696,150,1,Inactive
266942,GB,1,30,153,1,Inactive
266949,DE,1,144,262,1,Inactive
26695,US,1,12,944,1,Active
266984,CA,1,84,124,1,Inactive
266991,US,1,72,153,1,Inactive
267019,US,1,1314,429,1,Inactive
267054,MA,3,282,960,3,Inactive
267124,US,1,930,85,1,Inactive
267215,US,2,1903.2,476,2,Inactive
267229,FR,1,1104,87,1,Inactive
267320,US,1,815.16,139,1,Inactive
267376,GR,1,96,214,1,Inactive
267411,VN,1,132,157,1,Active
267432,US,1,348,120,1,Inactive
267488,JO,1,78,168,1,Inactive
267523,ID,1,72,209,1,Inactive
267544,PH,1,144,378,1,Inactive
267551,CA,1,79.8,85,1,Inactive
267614,US,1,132,167,1,Inactive
267684,SK,1,72,99,1,Active
267719,VN,1,612.48,192,1,Active
267782,BR,1,96,348,1,Inactive
267936,US,1,288,182,1,Inactive
268020,US,1,270,85,1,Inactive
268041,SG,1,216,85,1,Inactive
268111,US,1,171.2,91,1,Inactive
268132,JP,1,72,174,1,Inactive
268146,CA,1,115.2,91,1,Inactive
268153,BR,1,312,306,1,Active
268181,US,2,351,237,2,Inactive
268293,GB,1,150,271,1,Inactive
268370,ES,1,150,142,1,Inactive
268377,AU,2,588,364,2,Inactive
268398,CA,1,67.2,364,1,Inactive
268517,CN,1,84,199,1,Active
268531,CA,4,1449.6,720,4,Inactive
268678,JP,1,67.68,125,1,Inactive
268706,JP,1,459.36,238,1,Inactive
268755,HR,1,96,340,1,Inactive
268853,US,1,216,397,1,Inactive
268881,MA,2,290.88,306,2,Inactive
268923,US,1,360,121,1,Inactive
268993,IN,1,556.8,92,1,Inactive
269035,NL,1,67.2,96,1,Inactive
26912,US,1,144,1131,1,Inactive
269147,VN,1,72,87,1,Inactive
269231,GB,1,144,151,1,Inactive
269371,BR,1,84,268,1,Inactive
269399,PK,1,144,119,1,Inactive
269413,CA,1,168,121,1,Inactive
269448,US,1,72,156,1,Inactive
269560,CN,1,950.4,80,1,Inactive
269595,UA,1,348,239,1,Inactive
269700,BR,1,156,306,1,Inactive
269707,CA,1,72,63,1,Inactive
269735,JP,1,120,63,1,Inactive
269784,UA,1,132,133,1,Inactive
269805,JP,1,470,385,1,Active
269826,US,1,136.8,99,1,Inactive
269994,US,1,30,240,1,Inactive
270092,CA,1,84,92,1,Inactive
270127,JM,2,102,719,2,Inactive
270169,NL,1,138.24,258,1,Inactive
270197,VN,1,904.8,92,1,Inactive
270330,US,1,1704,275,1,Inactive
270344,US,1,431.52,216,1,Inactive
270351,CA,1,144,245,1,Inactive
270372,IL,1,300,110,1,Inactive
270400,JP,1,144,184,1,Inactive
270547,US,2,157.44,718,2,Inactive
270596,US,1,132,193,1,Inactive
270624,GB,1,1299.6,59,1,Inactive
270645,BR,1,30,422,1,Active
270652,MY,1,72,240,1,Inactive
270673,US,1,32400,61,1,Inactive
270729,JP,2,336,218,2,Inactive
270841,AE,1,150,161,1,Inactive
270904,US,1,48,209,1,Inactive
270946,US,1,3768.84,62,1,Inactive
270967,ES,1,36,222,1,Inactive
270988,US,1,72,61,1,Inactive
270995,JP,2,204,142,2,Inactive
271009,IT,1,230.4,205,1,Inactive
271065,DE,1,96,76,1,Inactive
271149,JP,1,72,189,1,Inactive
271156,VN,1,144,183,1,Inactive
271198,CN,1,132,380,1,Inactive
271212,GB,2,252.6,309,2,Active
271219,UA,1,3720,55,1,Inactive
271282,US,1,4536,258,1,Active
271303,MX,1,811.44,159,1,Inactive
271331,US,1,474,304,1,Inactive
271380,US,1,336,66,1,Inactive
271429,HK,1,72,170,1,Inactive
271632,GB,1,696,243,1,Inactive
271639,NO,1,96,207,1,Active
271653,AU,2,162,620,2,Inactive
271667,CL,1,30,63,1,Inactive
271681,US,1,90,83,1,Inactive
271821,BR,1,96,56,1,Inactive
271842,US,1,450,242,1,Inactive
271877,SE,1,273.6,211,1,Active
271898,BR,1,201.6,55,1,Inactive
271905,JP,1,634.8,393,1,Inactive
271947,US,2,708,298,2,Inactive
272017,TH,1,30,307,1,Inactive
272038,JP,2,264,364,2,Inactive
272101,GB,1,1140,312,1,Inactive
272136,US,1,474,59,1,Inactive
272143,US,1,354,181,1,Inactive
272150,KR,1,570,60,1,Inactive
272192,US,1,474,85,1,Inactive
272199,US,1,86.4,237,1,Inactive
272213,HR,3,138,596,3,Inactive
272283,US,1,72,94,1,Inactive
272290,US,1,68.4,86,1,Inactive
272304,DE,2,1044,447,2,Inactive
272535,VN,1,72,247,1,Inactive
272549,JP,1,288,216,1,Inactive
272591,BR,2,192,149,2,Inactive
272619,HK,1,90,56,1,Inactive
272675,US,1,780,207,1,Inactive
272689,US,1,144,50,1,Inactive
272710,US,1,72,65,1,Inactive
272794,VN,1,204,61,1,Inactive
272801,MT,1,132,363,1,Inactive
272843,AU,1,158.4,55,1,Inactive
272850,PL,1,230.4,270,1,Inactive
272906,US,1,72,333,1,Inactive
272962,US,1,474,238,1,Inactive
272976,US,1,138,141,1,Inactive
272997,JP,1,67.68,360,1,Inactive
273067,US,1,780,194,1,Inactive
273109,US,2,852,348,2,Inactive
273158,US,1,144,70,1,Inactive
273200,US,2,204,140,2,Inactive
273242,VN,2,276,560,2,Inactive
273312,CA,1,156,218,1,Inactive
273361,GB,1,1488,60,1,Inactive
273396,US,1,136.8,220,1,Inactive
273410,US,2,948,218,2,Active
273431,GB,1,150,178,1,Inactive
273473,US,1,474,293,1,Active
273501,SG,1,1140,102,1,Inactive
273557,US,1,72,94,1,Inactive
273578,CA,1,288,61,1,Inactive
273599,RE,3,264,659,2,Inactive
273655,HK,2,192,248,2,Inactive
273690,US,1,171,97,1,Inactive
273704,US,1,90,61,1,Inactive
27374,CA,1,1200,1173,1,Active
273746,MA,1,72,62,1,Inactive
273809,US,1,72,87,1,Inactive
273837,DE,1,72,125,1,Inactive
273844,RO,3,109.2,244,3,Inactive
273914,BR,1,96,330,1,Active
273935,BR,2,168,284,2,Inactive
273963,CA,1,330.6,151,1,Inactive
273998,GB,1,1368,373,1,Active
27402,US,1,624,1107,1,Inactive
274061,IT,1,96,155,1,Inactive
274068,JP,1,556.8,248,1,Inactive
274103,US,1,1194,212,1,Inactive
274117,UA,1,3720,284,1,Inactive
274264,JP,1,1928.88,107,1,Inactive
274313,US,1,696,143,1,Inactive
275237,US,1,354,55,1,Inactive
275307,US,1,1368,146,1,Inactive
275412,AT,1,30,233,1,Inactive
275825,NG,1,136.8,185,1,Inactive
276042,VN,1,132,122,1,Inactive
27605,GI,1,144,1040,1,Inactive
276063,VN,1,125.4,337,1,Inactive
276147,GB,1,168,136,1,Active
276805,IN,1,72,63,1,Inactive
276826,US,1,204,209,1,Inactive
276896,IN,1,1104,161,1,Inactive
276910,GB,1,342,238,1,Inactive
276987,US,1,930,243,1,Inactive
277141,BR,1,96,93,1,Inactive
277169,JP,1,523.44,290,1,Inactive
277253,US,1,474,243,1,Inactive
277330,US,1,72,170,1,Inactive
277344,RU,1,1200,132,1,Inactive
277351,MY,1,144,146,1,Inactive
277561,JP,1,392.52,70,1,Inactive
277638,US,1,72,151,1,Inactive
277645,US,2,174,424,2,Active
277806,FR,1,96,51,1,Inactive
277813,US,1,144,68,1,Inactive
277960,JP,1,270.72,259,1,Inactive
277967,US,1,72,135,1,Inactive
278086,RO,1,230.4,112,1,Inactive
278149,CA,1,240,62,1,Inactive
278163,US,1,930,119,1,Inactive
278170,IN,3,151.8,469,3,Inactive
278296,US,1,270,305,1,Inactive
278436,JP,1,144,316,1,Inactive
278464,PH,1,68.4,43,1,Inactive
278485,GB,1,354,39,1,Inactive
278492,US,1,72,92,1,Inactive
278506,BR,1,432,83,1,Inactive
278576,US,2,261.6,719,2,Inactive
278604,US,1,288,361,1,Inactive
278702,VN,2,232.8,310,2,Inactive
278870,US,1,72,57,1,Inactive
278989,JP,1,915.96,90,1,Inactive
278996,US,1,930,75,1,Inactive
279185,CA,1,78,67,1,Inactive
